内部 ID,ID,店铺,14K货号,是否同步平台库存,成员货品,成员货品数量,美国生命周期状态,德国生命周期状态,日本生命周期状态,英国生命周期状态,类型,代运营,非活动,leadtime
2972,2972,US-Walmart,CHM0011-S2-PINK,是,CHM0011-S2-PINK,1,成熟期,,,,库存货品,自营,否,3
2977,2977,US-Walmart,CHM0011-S2-PURPLE,是,CHM0011-S2-PURPLE,1,成熟期,,,,库存货品,自营,否,3
2982,2982,US-Walmart,CHM0011-S2-RED,是,CHM0011-S2-RED,1,成熟期,,,,库存货品,自营,是,3
2987,2987,US-Walmart,CHM0011-S2-SAGE,是,CHM0011-S2-SAGE,1,成熟期,,,,库存货品,自营,否,3
2991,2991,US-Walmart,CHM0011-S2-TAN,是,CHM0011-S2-TAN,1,成熟期,淘汰期,,下市期,库存货品,自营,是,3
2996,2996,US-Walmart,CHM0011-S2-TEAL,是,CHM0011-S2-TEAL,1,成熟期,,,,库存货品,自营,是,3
3003,3003,US-Walmart,CHM0011-S2-YELLOW,是,CHM0011-S2-YELLOW,1,淘汰期 - 老品,,,,库存货品,自营,是,3
3010,3010,US-Walmart,CHM0014-FUSHIA,,CHM0014-FUSHIA,1,淘汰期 - 老品,,,,库存货品,自营,是,
3015,3015,US-Walmart,CHM0014-GREEN,否,CHM0014-GREEN,1,下市期,淘汰期,,,库存货品,自营,是,
3020,3020,US-Walmart,CHM0014-GREY,,CHM0014-GREY,1,下市期,,,下市期,库存货品,自营,是,
3025,3025,US-Walmart,CHM0014-IVORY,,CHM0014-IVORY,1,淘汰期 - 老品,淘汰期,,下市期,库存货品,自营,是,
3028,3028,US-Walmart,CHM0014-NAVY,否,CHM0014-NAVY,1,下市期,,,下市期,库存货品,自营,是,
3033,3033,US-Walmart,CHM0014-PINK,,CHM0014-PINK,1,下市期,淘汰期,,下市期,库存货品,自营,是,
3038,3038,US-Walmart,CHM0014-TEAL,,CHM0014-TEAL,1,下市期,,,,库存货品,自营,是,
3041,3041,US-Walmart,CHM0014-YELLOW,否,CHM0014-YELLOW,1,下市期,,,,库存货品,自营,是,
3047,3047,US-Walmart,CHM0015-BLUE,是,CHM0015-BLUE,1,成熟期,成熟期,,货号淘汰期,库存货品,自营,否,
3055,3055,US-Walmart,CHM0015-GREEN,,CHM0015-GREEN,1,成熟期,成熟期,,成熟期,库存货品,自营,是,
3061,3061,US-Walmart,CHM0015-PURPLE,否,CHM0015-PURPLE,1,下市期,,,,库存货品,自营,是,
3069,3069,US-Walmart,CHM0015-YELLOW,是,CHM0015-YELLOW,1,成熟期,,,翻单期,库存货品,自营,否,
3075,3075,US-Walmart,CHM0020-LEOPARD,否,CHM0020-LEOPARD,1,下市期,,,,库存货品,自营,是,
3082,3082,US-Walmart,CHM0020-TROPICAL,否,CHM0020-TROPICAL,1,下市期,,,,库存货品,自营,是,
3088,3088,US-Walmart,CHM0106-BLACK,,CHM0106-BLACK,1,下市期,,,下市期,库存货品,自营,是,
3091,3091,US-Walmart,CHM0106-FUSHIA,否,CHM0106-FUSHIA,1,下市期,,,,库存货品,自营,是,
3094,3094,US-Walmart,CHM0106-GREY,否,CHM0106-GREY,1,下市期,,,,库存货品,自营,是,
3097,3097,US-Walmart,CHM0106-IVORY,是,CHM0106-IVORY,1,淘汰期 - 老品,淘汰期,,下市期,库存货品,自营,否,
3100,3100,US-Walmart,CHM0106-MUSTARD,是,CHM0106-MUSTARD,1,淘汰期 - 老品,,,下市期,库存货品,自营,否,
3103,3103,US-Walmart,CHM0106-NAVY,,CHM0106-NAVY,1,下市期,淘汰期,,下市期,库存货品,自营,是,
3106,3106,US-Walmart,CHM0106-PINK,否,CHM0106-PINK,1,下市期,,,,库存货品,自营,是,
3109,3109,US-Walmart,CHM0106-TEAL,否,CHM0106-TEAL,1,下市期,,,,库存货品,自营,是,
3111,3111,US-Walmart,CHM0119-BLUE,是,CHM0119-BLUE,1,成熟期,,,,库存货品,自营,是,
3112,3112,US-Walmart,CHM0119-FUSHIA,是,CHM0119-FUSHIA,1,成熟期,,,下市期,库存货品,自营,否,
3113,3113,US-Walmart,CHM0119-GREEN,是,CHM0119-GREEN,1,成熟期,,,,库存货品,自营,否,
3114,3114,US-Walmart,CHM0119-GREY,是,CHM0119-GREY,1,淘汰期 - 老品,,,,库存货品,自营,否,
3115,3115,US-Walmart,CHM0119-IVORY,是,CHM0119-IVORY,1,成熟期,淘汰期,,货号淘汰期,库存货品,自营,否,
3116,3116,US-Walmart,CHM0119-MUSTARD,是,CHM0119-MUSTARD,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3117,3117,US-Walmart,CHM0119-NAVY,是,CHM0119-NAVY,1,成熟期,,,,库存货品,自营,否,
3118,3118,US-Walmart,CHM0119-PINK,是,CHM0119-PINK,1,成熟期,淘汰期,,货号淘汰期,库存货品,自营,否,
3119,3119,US-Walmart,CHM0119-TAN,是,CHM0119-TAN,1,成熟期,淘汰期,,货号淘汰期,库存货品,自营,是,
3120,3120,US-Walmart,CHM0119-TEAL,是,CHM0119-TEAL,1,成熟期,,,成熟期,库存货品,自营,否,
3121,3121,US-Walmart,CHM0120-BLACK,是,CHM0120-BLACK,1,淘汰期 - 老品,,,下市期,库存货品,自营,否,
3122,3122,US-Walmart,CHM0120-BLUE,是,CHM0120-BLUE,1,淘汰期 - 老品,淘汰期,,,库存货品,自营,是,
3123,3123,US-Walmart,CHM0120-FUSHIA,是,CHM0120-FUSHIA,1,淘汰期 - 老品,,,,库存货品,自营,否,
3124,3124,US-Walmart,CHM0120-GREEN,是,CHM0120-GREEN,1,淘汰期 - 老品,,,,库存货品,自营,是,
3125,3125,US-Walmart,CHM0120-GREY,是,CHM0120-GREY,1,下市期,,,下市期,库存货品,自营,是,
3126,3126,US-Walmart,CHM0120-IVORY,是,CHM0120-IVORY,1,淘汰期 - 老品,淘汰期,,下市期,库存货品,自营,否,
3127,3127,US-Walmart,CHM0120-MUSTARD,是,CHM0120-MUSTARD,1,下市期,淘汰期,,下市期,库存货品,自营,是,
3128,3128,US-Walmart,CHM0120-NAVY,是,CHM0120-NAVY,1,淘汰期 - 老品,,,下市期,库存货品,自营,否,
3129,3129,US-Walmart,CHM0120-PINK,是,CHM0120-PINK,1,下市期,淘汰期,,,库存货品,自营,是,
3130,3130,US-Walmart,CHM0120-PURPLE,是,CHM0120-PURPLE,1,下市期,,,,库存货品,自营,是,
3131,3131,US-Walmart,CHM0120-TAN,是,CHM0120-TAN,1,淘汰期 - 老品,,,下市期,库存货品,自营,否,
3132,3132,US-Walmart,CHM0120-TEAL,否,CHM0120-TEAL,1,下市期,,,下市期,库存货品,自营,是,
3134,3134,US-Walmart,CHM6030-BLACK,是,CHM6030-BLACK,1,成熟期,,,,库存货品,自营,否,
3139,3139,US-Walmart,CHM6030-BLUE,是,CHM6030-BLUE,1,成熟期,,,,库存货品,自营,否,
3146,3146,US-Walmart,CHM6030-BROWN,是,CHM6030-BROWN,1,下市期,,,,库存货品,自营,是,
3154,3154,US-Walmart,CHM6030-CHARCOAL,是,CHM6030-CHARCOAL,1,下市期,,,,库存货品,自营,是,
3162,3162,US-Walmart,CHM6030-FUSHIA,是,CHM6030-FUSHIA,1,成熟期,,,,库存货品,自营,否,
3170,3170,US-Walmart,CHM6030-GREEN,是,CHM6030-GREEN,1,成熟期,,,,库存货品,自营,否,
3180,3180,US-Walmart,CHM6030-GREY,是,CHM6030-GREY,1,成熟期,,,下市期,库存货品,自营,否,
3190,3190,US-Walmart,CHM6030-IVORY,是,CHM6030-IVORY,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3199,3199,US-Walmart,CHM6030-NAVY,是,CHM6030-NAVY,1,成熟期,,,下市期,库存货品,自营,否,
3207,3207,US-Walmart,CHM6030-PINK,是,CHM6030-PINK,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3215,3215,US-Walmart,CHM6030-PURPLE,是,CHM6030-PURPLE,1,成熟期,,,,库存货品,自营,否,
3223,3223,US-Walmart,CHM6030-RED,是,CHM6030-RED,1,下市期,,,,库存货品,自营,是,
3231,3231,US-Walmart,CHM6030-TAN,是,CHM6030-TAN,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3238,3238,US-Walmart,CHM6030-TEAL,是,CHM6030-TEAL,1,成熟期,,,下市期,库存货品,自营,否,
3246,3246,US-Walmart,CHM6030-TURQUOISE,是,CHM6030-TURQUOISE,1,下市期,,,,库存货品,自营,是,
3254,3254,US-Walmart,CHM6030-YELLOW,是,CHM6030-YELLOW,1,成熟期,,,,库存货品,自营,否,
3260,3260,US-Walmart,CHM6075O-BLACK,是,CHM6075O-BLACK,1,下市期,淘汰期,,下市期,库存货品,自营,是,
3265,3265,US-Walmart,CHM6075O-BLUE,是,CHM6075O-BLUE,1,成熟期,,,,库存货品,自营,否,
3271,3271,US-Walmart,CHM6075O-BROWN,是,CHM6075O-BROWN,1,下市期,,,,库存货品,自营,是,
3279,3279,US-Walmart,CHM6075O-CHARCOAL,是,CHM6075O-CHARCOAL,1,成熟期,,,,库存货品,自营,是,
3288,3288,US-Walmart,CHM6075O-FUCHSIA,是,CHM6075O-FUCHSIA,1,下市期,,,,库存货品,自营,是,
3295,3295,US-Walmart,CHM6075O-GREEN,是,CHM6075O-GREEN,1,淘汰期 - 老品,,,,库存货品,自营,否,
3303,3303,US-Walmart,CHM6075O-GREY,是,CHM6075O-GREY,1,淘汰期 - 老品,淘汰期,,下市期,库存货品,自营,是,
3312,3312,US-Walmart,CHM6075O-IVORY,是,CHM6075O-IVORY,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3321,3321,US-Walmart,CHM6075O-NAVY,是,CHM6075O-NAVY,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3329,3329,US-Walmart,CHM6075O-ORANGE,是,CHM6075O-ORANGE,1,成熟期,,,,库存货品,自营,否,
3338,3338,US-Walmart,CHM6075O-PINK,是,CHM6075O-PINK,1,成熟期,,,下市期,库存货品,自营,否,
3345,3345,US-Walmart,CHM6075O-PURPLE,是,CHM6075O-PURPLE,1,淘汰期 - 老品,,,,库存货品,自营,是,
3351,3351,US-Walmart,CHM6075O-TAN,是,CHM6075O-TAN,1,成熟期,,,,库存货品,自营,否,
3358,3358,US-Walmart,CHM6075O-TEAL,是,CHM6075O-TEAL,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3366,3366,US-Walmart,CHM6075O-YELLOW,是,CHM6075O-YELLOW,1,淘汰期 - 老品,淘汰期,,下市期,库存货品,自营,否,
3372,3372,US-Walmart,CHM6125A-BLACK,是,CHM6125A-BLACK,1,成熟期,,,,库存货品,自营,否,
3379,3379,US-Walmart,CHM6125A-FUCHSIA,是,CHM6125A-FUCHSIA,1,成熟期,,,,库存货品,自营,否,
3387,3387,US-Walmart,CHM6125A-GREEN,是,CHM6125A-GREEN,1,成熟期,,,,库存货品,自营,否,
3395,3395,US-Walmart,CHM6125A-IVORY,是,CHM6125A-IVORY,1,成熟期,成熟期,,淘汰期,库存货品,自营,否,
3400,3400,US-Walmart,CHM6125A-MUSTARD,是,CHM6125A-MUSTARD,1,成熟期,,,,库存货品,自营,否,
3407,3407,US-Walmart,CHM6125A-NAVY,是,CHM6125A-NAVY,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3416,3416,US-Walmart,CHM6125A-ORANGE,是,CHM6125A-ORANGE,1,成熟期,,,,库存货品,自营,否,
3425,3425,US-Walmart,CHM6125A-PINK,是,CHM6125A-PINK,1,成熟期,,,,库存货品,自营,否,
3434,3434,US-Walmart,CHM6125A-RED,是,CHM6125A-RED,1,成熟期,,,,库存货品,自营,否,
3439,3439,US-Walmart,CHM6125A-SAGE,是,CHM6125A-SAGE,1,成熟期,,,,库存货品,自营,否,
3443,3443,US-Walmart,CHM6125A-TAN,是,CHM6125A-TAN,1,成熟期,成熟期,,货号淘汰期,库存货品,自营,否,
3450,3450,US-Walmart,CHM6125A-TEAL,是,CHM6125A-TEAL,1,成熟期,,,,库存货品,自营,否,
3459,3459,US-Walmart,CHM6125A-YELLOW,是,CHM6125A-YELLOW,1,淘汰期 - 老品,,,,库存货品,自营,否,
3467,3467,US-Walmart,CHM6154A-BLACK,是,CHM6154A-BLACK,1,淘汰期 - 老品,,,,库存货品,自营,否,
3473,3473,US-Walmart,CHM6154A-BLUE,是,CHM6154A-BLUE,1,下市期,,,,库存货品,自营,是,
3479,3479,US-Walmart,CHM6154A-BROWN,是,CHM6154A-BROWN,1,下市期,,,,库存货品,自营,是,
3486,3486,US-Walmart,CHM6154A-FUSHIA,否,CHM6154A-FUSHIA,1,淘汰期 - 老品,,,,库存货品,自营,是,
3494,3494,US-Walmart,CHM6154A-GREEN,是,CHM6154A-GREEN,1,下市期,,,,库存货品,自营,是,
3501,3501,US-Walmart,CHM6154A-GREY,是,CHM6154A-GREY,1,淘汰期 - 老品,淘汰期,,下市期,库存货品,自营,否,
3507,3507,US-Walmart,CHM6154A-IVORY,是,CHM6154A-IVORY,1,成熟期,,,,库存货品,自营,否,
3513,3513,US-Walmart,CHM6154A-MUSTARD,是,CHM6154A-MUSTARD,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3519,3519,US-Walmart,CHM6154A-NAVY,是,CHM6154A-NAVY,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3527,3527,US-Walmart,CHM6154A-ORANGE,是,CHM6154A-ORANGE,1,淘汰期 - 老品,,,,库存货品,自营,否,
3534,3534,US-Walmart,CHM6154A-PINK,是,CHM6154A-PINK,1,成熟期,淘汰期,,,库存货品,自营,否,
3541,3541,US-Walmart,CHM6154A-PURPLE,是,CHM6154A-PURPLE,1,下市期,,,,库存货品,自营,是,
3547,3547,US-Walmart,CHM6154A-RED,是,CHM6154A-RED,1,淘汰期 - 老品,,,,库存货品,自营,是,
3554,3554,US-Walmart,CHM6154A-SAGE,是,CHM6154A-SAGE,1,成熟期,,,,库存货品,自营,是,
3561,3561,US-Walmart,CHM6154A-TAN,是,CHM6154A-TAN,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3567,3567,US-Walmart,CHM6154A-TEAL,是,CHM6154A-TEAL,1,淘汰期 - 老品,,,,库存货品,自营,否,
3574,3574,US-Walmart,CHM6154A-YELLOW,是,CHM6154A-YELLOW,1,下市期,,,,库存货品,自营,是,
3579,3579,US-Walmart,CHMJM002-BLACK,是,CHMJM002-BLACK,1,成熟期,,,,库存货品,自营,是,
3587,3587,US-Walmart,CHMJM002-BLUE,是,CHMJM002-BLUE,1,成熟期,,,,库存货品,自营,是,
3592,3592,US-Walmart,CHMJM002-BROWN,是,CHMJM002-BROWN,1,下市期,,,,库存货品,自营,是,
3599,3599,US-Walmart,CHMJM002-FUCHSIA,是,CHMJM002-FUCHSIA,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3607,3607,US-Walmart,CHMJM002-GREEN,是,CHMJM002-GREEN,1,成熟期,,,,库存货品,自营,否,
3616,3616,US-Walmart,CHMJM002-GREY,是,CHMJM002-GREY,1,成熟期,,,下市期,库存货品,自营,是,
3622,3622,US-Walmart,CHMJM002-IVORY,是,CHMJM002-IVORY,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3627,3627,US-Walmart,CHMJM002-MUSTARD,是,CHMJM002-MUSTARD,1,成熟期,淘汰期,,下市期,库存货品,自营,是,
3634,3634,US-Walmart,CHMJM002-NAVY,是,CHMJM002-NAVY,1,成熟期,淘汰期,,下市期,库存货品,自营,否,
3643,3643,US-Walmart,CHMJM002-ORANGE,是,CHMJM002-ORANGE,1,成熟期,,,,库存货品,自营,是,
3650,3650,US-Walmart,CHMJM002-PINK,是,CHMJM002-PINK,1,成熟期,,,,库存货品,自营,否,
3655,3655,US-Walmart,CHMJM002-PURPLE,是,CHMJM002-PURPLE,1,成熟期,,,,库存货品,自营,是,
3662,3662,US-Walmart,CHMJM002-RED,是,CHMJM002-RED,1,成熟期,,,,库存货品,自营,是,
3668,3668,US-Walmart,CHMJM002-SAGE,是,CHMJM002-SAGE,1,成熟期,,,,库存货品,自营,是,
3673,3673,US-Walmart,CHMJM002-TAN,是,CHMJM002-TAN,1,成熟期,,,,库存货品,自营,是,
3680,3680,US-Walmart,CHMJM002-TEAL,是,CHMJM002-TEAL,1,成熟期,,,下市期,库存货品,自营,是,
3688,3688,US-Walmart,CHMJM002-YELLOW,是,CHMJM002-YELLOW,1,淘汰期 - 老品,,,,库存货品,自营,是,
3695,3695,US-Walmart,CHOY0012-BEIGE,是,CHOY0012-BEIGE,1,成熟期,,,,库存货品,自营,否,
3700,3700,US-Walmart,CHOY0012-BIRD,是,CHOY0012-BIRD,1,成熟期,,,,库存货品,自营,否,
3706,3706,US-Walmart,CHOY0012-BLACK,是,CHOY0012-BLACK,1,淘汰期 - 老品,,,,库存货品,自营,否,
3712,3712,US-Walmart,CHOY0012-BLOSSOM,是,CHOY0012-BLOSSOM,1,下市期,,,,库存货品,自营,是,
3718,3718,US-Walmart,CHOY0012-FLORAL,是,CHOY0012-FLORAL,1,下市期,,,,库存货品,自营,是,
3723,3723,US-Walmart,CHOY0012-GARDEN,是,CHOY0012-GARDEN,1,淘汰期 - 老品,,,,库存货品,自营,否,
3730,3730,US-Walmart,CHOY0012-INDIGO,是,CHOY0012-INDIGO,1,成熟期,,,,库存货品,自营,否,
3736,3736,US-Walmart,CHOY0012-LEAVES,是,CHOY0012-LEAVES,1,下市期,,,,库存货品,自营,是,
3742,3742,US-Walmart,CHOY0012-NAVY,是,CHOY0012-NAVY,1,成熟期,,,,库存货品,自营,是,
3747,3747,US-Walmart,CHOY0012-RED,是,CHOY0012-RED,1,淘汰期 - 老品,,,,库存货品,自营,否,
3756,3756,US-Walmart,CHOY0013-INDIGO,否,CHOY0013-INDIGO,1,下市期,,,,库存货品,自营,是,
3762,3762,US-Walmart,CHOY0027-FLORAL,否,CHOY0027-FLORAL,1,下市期,,,,库存货品,自营,是,
3769,3769,US-Walmart,CHOY6023-CARAMEL,否,CHOY6023-CARAMEL,1,下市期,,,,库存货品,自营,是,
3776,3776,US-Walmart,CHOY6023-GREY,否,CHOY6023-GREY,1,下市期,,,,库存货品,自营,是,
3783,3783,US-Walmart,CHOY6023-LINEN,否,CHOY6023-LINEN,1,下市期,,,,库存货品,自营,是,
3789,3789,US-Walmart,CHOY6023-NAVY,否,CHOY6023-NAVY,1,下市期,,,,库存货品,自营,是,
3797,3797,US-Walmart,CHOY6023-PEWTER,否,CHOY6023-PEWTER,1,下市期,,,,库存货品,自营,是,
3806,3806,US-Walmart,CHOY6023-PINK,否,CHOY6023-PINK,1,下市期,,,,库存货品,自营,是,
3812,3812,US-Walmart,CHOY6023-RED,否,CHOY6023-RED,1,下市期,,,,库存货品,自营,是,
3819,3819,US-Walmart,CHOY6023-TAN,否,CHOY6023-TAN,1,下市期,,,,库存货品,自营,是,
3825,3825,US-Walmart,CHOY6023-TEAL,是,CHOY6023-TEAL,1,下市期,,,,库存货品,自营,是,
3832,3832,US-Walmart,CHOY6023-YELLOW,否,CHOY6023-YELLOW,1,下市期,,,,库存货品,自营,是,
3837,3837,US-Walmart,CHQY0079-BLUE,是,CHQY0079-BLUE,1,下市期,,,,库存货品,自营,是,
3840,3840,US-Walmart,CHQY0079-GREY,否,CHQY0079-GREY,1,下市期,,,,库存货品,自营,是,
3843,3843,US-Walmart,CHQY0079-IVORY,否,CHQY0079-IVORY,1,淘汰期,,,,库存货品,自营,是,
3846,3846,US-Walmart,CHQY0079-LINEN,否,CHQY0079-LINEN,1,淘汰期,,,,库存货品,自营,是,
3849,3849,US-Walmart,CHQY0079-STRIPE,否,CHQY0079-STRIPE,1,淘汰期,,,,库存货品,自营,是,
3852,3852,US-Walmart,CHQY0079-TAN,否,CHQY0079-TAN,1,淘汰期,,,,库存货品,自营,是,
3856,3856,US-Walmart,CHQY0080-BLUE,否,CHQY0080-BLUE,1,淘汰期,,,,库存货品,自营,是,
3861,3861,US-Walmart,CHQY0080-CAMEL,否,CHQY0080-CAMEL,1,淘汰期,,,,库存货品,自营,是,
3866,3866,US-Walmart,CHQY0080-MUSTARD,否,CHQY0080-MUSTARD,1,淘汰期,,,,库存货品,自营,是,
3871,3871,US-Walmart,CHQY0080-NAVY,否,CHQY0080-NAVY,1,淘汰期,,,,库存货品,自营,是,
3876,3876,US-Walmart,CHQY0080-PEWTER,否,CHQY0080-PEWTER,1,淘汰期,,,,库存货品,自营,是,
3881,3881,US-Walmart,CHQY0081-BLUE,否,CHQY0081-BLUE,1,下市期,,,,库存货品,自营,是,
3886,3886,US-Walmart,CHQY0081-GREY,是,CHQY0081-GREY,1,下市期,,,,库存货品,自营,是,
3891,3891,US-Walmart,CHQY0081-IVORY,是,CHQY0081-IVORY,1,下市期,,,,库存货品,自营,是,
3896,3896,US-Walmart,CHQY0081-LINEN,是,CHQY0081-LINEN,1,下市期,,,,库存货品,自营,是,
3901,3901,US-Walmart,,是,,1,,,,,,,是,
3906,3906,US-Walmart,CHQY0081-TAN,是,CHQY0081-TAN,1,下市期,,,,库存货品,自营,是,
3910,3910,US-Walmart,CHS0023-BLUE,否,CHS0023-BLUE,1,下市期,,,,库存货品,自营,是,
3915,3915,US-Walmart,CHS0023-GREY,否,CHS0023-GREY,1,下市期,,,,库存货品,自营,是,
3920,3920,US-Walmart,CHS0023-INDIGO,是,CHS0023-INDIGO,1,下市期,,,,库存货品,自营,是,
3925,3925,US-Walmart,CHS0023-IRON,是,CHS0023-IRON,1,下市期,,,,库存货品,自营,是,
